billing_id,subscription_id,billing_amount,payment_status,billing_date
611e4e54,64eada72,196.75,Pending,2024-05-28
512c8e1e,89eeef23,91.16,Paid,2019-12-15
daa62c83,debfb4f9,40.17,Overdue,2017-04-06
c534a6c1,3b27e28c,159.71,Pending,2016-02-23
c489a86e,1237531f,87.59,Paid,2024-08-12
d9cb70a3,dd5ba139,70.43,Pending,2018-03-17
7e6b4ffd,11d3e075,190.92,Pending,2024-01-28
6d2eb710,f07a2fa1,180.18,Paid,2024-03-04
24a91f02,29a067f5,55.06,Paid,2017-05-06
81460bbc,8215d1ef,54.76,Overdue,2017-11-08
76e804be,6e363942,118.36,Overdue,2021-07-30
f870a431,9c53135d,153.95,Overdue,2021-09-04
49c0e096,84b14f50,14.57,Pending,2019-08-07
beefa432,1320378a,151.17,Pending,2024-09-19
63c292b2,57ed248b,14.25,Overdue,2022-02-28
4fca860f,69421011,64.68,Overdue,2017-01-11
405498d6,4f3a2ec4,96.12,Overdue,2015-10-04
83ef2b56,fc846f4b,161.68,Paid,2017-01-05
f642ed9e,10d78981,122.39,Paid,2021-10-09
99e33dca,7249b782,140.33,Overdue,2025-02-09
40f8a7b2,9821362f,34.37,Pending,2020-01-10
6338b476,3665f996,126.96,Overdue,2019-11-29
00657581,eb39331b,67.38,Pending,2017-01-15
afb50f92,ce6d03d5,57.69,Overdue,2017-04-14
3727078d,177088cd,56.51,Paid,2019-10-15
cced0818,b21c6b60,27.32,Pending,2023-11-02
76d8864e,4699726c,50.07,Pending,2020-11-30
c0aab004,dcbae0d9,130.13,Overdue,2017-02-15
0a1eb59a,c616fe7e,101.08,Paid,2016-06-20
c0bf708e,9b123954,197.3,Pending,2025-02-04
f1f38798,bf35319f,111.8,Paid,2022-08-25
e849e7fd,c8918c8b,66.63,Pending,2020-11-24
2173667c,950d749e,83.66,Paid,2024-12-04
3f867cac,63ec6009,62.88,Pending,2018-11-22
6f14a776,fde5bd75,155.25,Pending,2020-11-18
110ac708,7767a6d4,33.97,Pending,2015-05-30
73826718,9e6889e6,118.71,Paid,2016-01-13
63a053d6,d1fe683a,160.33,Pending,2016-02-09
6ce9c2a8,2c2a0526,61.29,Overdue,2018-09-24
876578fb,dc46c167,194.41,Overdue,2016-01-23
7eabe046,c8ddf037,16.59,Paid,2022-04-11
eaf51ef1,0bce7122,78.12,Paid,2020-08-18
bcc822de,b0561da2,66.72,Pending,2023-06-17
2a6b5283,4d1e4cb0,50.76,Overdue,2024-04-26
39941111,5d6bd11b,83.61,Paid,2019-07-18
603fd5f5,2ef107b0,162.98,Overdue,2020-08-10
f4ad9d9d,a0ab59c4,115.07,Overdue,2024-05-17
d3c8d7ef,912bcbf2,46.95,Paid,2023-09-01
50b127a4,377bda5f,134.08,Pending,2017-01-19
e31f63de,7d4009ac,176.16,Overdue,2016-03-14
a1091cea,51138db1,127.63,Paid,2018-02-07
1a668ee0,62d7a8d4,173.03,Overdue,2018-03-22
5bc430a4,43c5db20,89.44,Paid,2024-07-01
6d9d8fdf,9ccd5995,42.3,Paid,2015-11-19
04cb8eb6,7f01b1fa,68.66,Overdue,2021-11-17
93014bca,59b7e810,127.04,Pending,2020-11-01
bb462e36,b6816181,25.8,Overdue,2018-03-16
9dea34b4,e3b2c6ef,193.12,Overdue,2018-04-25
203aad7d,ea60bd62,32.47,Pending,2022-01-21
13d18c92,f3762df1,62.48,Paid,2021-04-24
4d41b8bb,996c1f27,15.32,Pending,2023-11-08
c9faa37c,326d826d,27.59,Overdue,2024-11-27
b095f2f6,99f6c7df,45.88,Pending,2018-10-11
86acdca9,ee93d467,90.34,Pending,2016-08-02
45755093,2ea2f1c5,41.8,Paid,2024-08-05
74552708,ebb74088,21.02,Overdue,2023-06-29
a83c92a2,4b645019,68.13,Pending,2022-09-04
56ee86ed,431be02a,167.91,Paid,2018-03-31
ca58fc45,aee789cb,86.78,Pending,2018-09-27
28e8e707,aa3f49fd,198.01,Paid,2018-03-27
74e859e7,54c4a401,23.11,Paid,2019-11-09
9b3c1202,32ec3c18,61.88,Overdue,2023-09-27
6172105c,6e249d2d,23.82,Paid,2015-04-24
5018c1bc,72638023,45.86,Overdue,2016-11-05
4b676023,a319e257,45.15,Pending,2021-04-08
bd0c5a7d,216da399,53.74,Pending,2020-07-20
5c3b142c,7e65230d,195.95,Pending,2022-05-13
db40fbdd,df1e9f6b,13.1,Paid,2015-06-05
730a3348,df5b8222,16.31,Overdue,2024-11-27
100bab14,cb2244a1,30.51,Paid,2018-07-31
afc2521e,7d784fe9,144.79,Overdue,2024-02-05
c7fe5845,8be80c69,60.07,Paid,2018-07-24
79ed83bd,56d0d4eb,88.01,Pending,2021-09-30
33f6d154,cce74328,99.34,Overdue,2022-10-22
89a83415,38631892,198.63,Pending,2018-07-17
641497ba,7f11a4ac,47.64,Overdue,2017-04-05
2508ca14,2fcad650,43.0,Overdue,2019-05-30
0c3edb66,4d13f807,54.24,Pending,2024-09-19
fb3a86b9,9c3f14df,25.25,Overdue,2015-04-07
9342c40e,dbbd5222,154.43,Paid,2023-07-21
68f298c4,d1245197,32.45,Pending,2020-11-26
324269d3,c1aa4734,36.54,Paid,2024-06-12
4df0ea9c,b392927f,41.13,Paid,2018-08-24
6da0530d,38ac41eb,68.51,Paid,2023-02-19
fcf9185d,3cbe6f0a,77.96,Overdue,2019-11-13
6f7f89df,9c5132c6,43.07,Overdue,2015-10-08
a5e75cb1,25d436fd,43.6,Pending,2022-03-09
bcf9b010,7eb90acc,144.72,Overdue,2017-04-03
a40dbdec,7c51826f,195.29,Paid,2023-11-23
23b9f50c,bf3d5099,76.81,Overdue,2020-02-13
4f7720ec,f3a2a201,90.94,Paid,2015-09-19
45ec342c,a3a891e0,171.52,Paid,2021-07-03
79e59662,fc9dd15a,151.0,Paid,2019-06-26
62fda63a,c824e920,58.88,Pending,2015-06-05
7ef050e3,cffd6b4c,35.42,Overdue,2025-01-07
81bee590,8cf21dd3,47.15,Pending,2022-01-23
a381bf09,56f262dd,198.01,Pending,2018-04-17
65b80d0f,f187d965,71.54,Pending,2024-11-10
fcf56ca9,50fae55f,125.05,Overdue,2017-08-30
c0270f15,65f04d03,111.18,Paid,2019-12-08
38f98111,d1740bac,90.9,Paid,2023-09-19
7d490320,9ed80a85,130.76,Paid,2020-10-15
8d8ec45e,8b2ea04e,137.79,Overdue,2015-03-06
c23f0059,1e5b4739,20.07,Paid,2021-05-05
91b0f623,4a0bcf24,110.29,Overdue,2024-07-21
9d69e2a8,cbdd7400,115.37,Paid,2016-09-28
f76dd3db,564a4349,165.29,Paid,2018-09-10
f0adcf5e,635a22dc,133.27,Paid,2023-05-12
056d78de,c5a79874,164.99,Paid,2021-06-10
37227ed0,2b8b4d1b,151.83,Pending,2018-07-26
d43ed267,80fc7f67,45.15,Pending,2015-03-26
6130a23f,9292728d,31.35,Paid,2022-01-22
b07a94e3,a7337da7,111.16,Overdue,2023-11-14
c5ec8307,920d66c7,115.64,Pending,2022-12-13
4a381fde,98c0d6d0,139.48,Overdue,2022-05-28
af38d20c,cb2244a1,121.07,Paid,2019-01-24
4ccc4f62,31243ec4,90.79,Overdue,2019-01-19
10afcb4d,954b4980,193.24,Pending,2017-07-18
d60cb40e,db5e7916,82.89,Paid,2021-03-12
caaa3203,48bdb2a8,189.95,Overdue,2022-12-02
12cd5ecb,a70a5881,35.23,Pending,2022-11-03
bc6c9a09,89e3b528,144.53,Overdue,2016-02-03
3219ad25,57e3d51d,87.88,Overdue,2015-03-08
01c54081,a8e6f9c9,32.92,Pending,2016-11-08
720e5b67,9a1f0e37,10.44,Paid,2023-05-02
861aa277,f914ecc3,22.14,Pending,2024-10-18
77c71a17,34dc6b73,118.16,Pending,2023-02-27
88e44de4,590fd7d1,91.07,Pending,2020-11-03
2ce2f63a,2cc41ff7,65.33,Pending,2016-06-08
aeb5c2ea,eec1e113,98.07,Paid,2021-03-12
9d3355bd,edc33502,28.49,Overdue,2024-01-01
0c41bd6d,5cda19c7,161.48,Paid,2018-04-22
a56fe2df,25567dc4,69.08,Pending,2017-06-07
4368dbc6,17a73d22,35.6,Overdue,2023-10-15
446e74df,360e5e5e,144.03,Overdue,2022-12-20
57740fb2,5bb5f760,47.57,Overdue,2017-09-13
37113f6a,9440804c,20.59,Pending,2020-07-27
58ca0f4e,870aeda8,17.39,Paid,2020-04-19
2282ee13,8cc62dc2,11.83,Overdue,2015-04-30
02078d13,3c65b197,14.62,Pending,2024-02-19
6404febb,1a0c5647,52.93,Overdue,2018-12-18
e208c66b,9669262d,49.62,Overdue,2024-07-06
fda04923,59191949,83.81,Overdue,2019-12-15
f049c70b,cda1b351,139.49,Overdue,2019-11-10
b26ff4fa,3b597828,140.39,Overdue,2023-01-18
58ac069d,8716c4e6,167.95,Pending,2016-11-18
34e1bfde,a705a902,66.52,Paid,2024-04-12
5996bc86,6b6329d9,91.66,Paid,2015-07-04
8a3ba645,89a6df37,162.29,Pending,2025-01-19
97e48315,a52b8217,185.14,Pending,2020-09-20
1f179e1b,fa30c7d4,20.53,Overdue,2015-09-29
f6b86172,cd9195cb,178.87,Pending,2024-07-25
8bed699c,5400033f,29.72,Pending,2022-12-22
680b75f7,e5ac5b03,45.8,Pending,2019-05-04
ebfac6ec,060f03dd,50.21,Pending,2015-04-19
b68e24ec,cd3f20c2,61.38,Overdue,2015-06-01
6862585f,ae076780,82.62,Pending,2015-12-21
6e542b86,6f8119d5,191.75,Overdue,2022-03-05
ba27ef29,9d302ee3,61.6,Paid,2021-07-22
7226c2df,be9e9fa7,79.2,Pending,2022-09-30
3fb66a9f,ff7d5c24,156.05,Paid,2015-03-20
1a36d634,3ca8bebb,173.74,Pending,2020-07-23
4b8d9b8b,7f62339f,64.6,Pending,2020-09-28
901b6cac,3430bbe1,169.03,Paid,2020-02-11
9d0e187a,bd0d0efe,97.15,Pending,2015-03-18
152f97a9,5862bcf7,46.48,Paid,2015-04-10
ad895af4,154fb619,115.79,Overdue,2022-03-14
5ce33d33,bda94553,137.45,Paid,2015-12-29
5663c623,36bfa578,158.39,Paid,2017-07-26
aee6612e,ca8755f9,41.54,Pending,2015-09-09
616ed1e4,cfe84586,169.51,Overdue,2021-04-17
3a5a3cff,adcb5f7d,109.91,Pending,2020-11-09
bbad5d56,08efefe8,103.47,Pending,2017-09-08
41c68843,07898523,183.9,Overdue,2022-06-24
c434f3ab,9e068b3d,77.8,Overdue,2016-09-21
76918883,66277367,76.56,Pending,2017-11-29
2ef96f49,f8f019ad,165.7,Paid,2022-04-11
bfa86679,3e4d3634,197.02,Overdue,2023-05-15
95e2b141,4feb44b1,56.98,Overdue,2022-02-15
46c3310e,723776cc,74.78,Pending,2024-12-02
2c6e950b,9c62522b,86.74,Pending,2017-11-09
49d7190e,def344ee,80.14,Paid,2023-10-01
2b07e304,b35b2d3b,67.55,Paid,2017-07-09
a696fb22,94407808,122.69,Pending,2024-02-06
9685ac6f,f54d2774,183.93,Pending,2020-07-23
21072281,bbfcb27e,188.47,Paid,2016-11-15
db075c08,d0db7546,12.86,Paid,2024-03-08
4bd10953,f35a3a72,199.05,Paid,2015-07-16
afbac60f,3fe1bf09,196.54,Overdue,2023-10-16
fffbc388,47de70d5,174.28,Paid,2018-01-13
50a72590,268c535f,77.38,Pending,2019-10-12
f9a5a136,96684bd5,194.67,Pending,2022-08-25
d9380551,39554f59,11.51,Pending,2021-11-18
020f1958,b36cb413,52.83,Pending,2022-05-22
b0047f90,c705c28e,192.62,Pending,2020-06-21
00762944,a8060aec,181.23,Pending,2020-05-01
b0a9d7c9,7230ec66,62.16,Pending,2024-07-20
f2e8ad12,7a5b4d37,23.21,Overdue,2024-07-17
12b10105,d661e48f,17.87,Pending,2020-11-29
ed40ef19,3e215da1,123.94,Overdue,2024-02-19
18f4c9a5,71f9b538,99.6,Pending,2022-11-14
a548b028,18f221f1,58.47,Paid,2021-11-27
e07b3a22,879ba6ba,166.92,Pending,2023-12-19
feccaf5c,46d38064,21.94,Paid,2015-08-14
08494bb7,ecf795d1,28.42,Overdue,2024-08-13
cb3a9494,477714fd,126.98,Pending,2016-04-05
09f1f708,6d18d117,199.01,Pending,2020-03-30
cf334d73,50e499f6,29.19,Paid,2024-12-23
6e96e834,b7c59a33,27.56,Pending,2018-01-23
5992f69e,1ba17d6b,107.2,Overdue,2015-08-20
3f8eb2f1,58f9cfb4,58.97,Overdue,2016-08-23
3720e5e2,6d39e221,179.04,Paid,2016-10-13
2f24251b,65fe23e5,18.62,Pending,2020-12-05
028b4d2c,2e5d17ce,121.35,Overdue,2015-09-21
d0c0979b,cb17b251,116.77,Overdue,2022-03-04
84998caa,fb816fb4,44.82,Pending,2022-04-10
f6c2eb18,bca8d256,24.12,Paid,2017-10-19
4bc0ae8f,10bcf530,175.96,Overdue,2018-01-14
86c31892,6495eda8,42.51,Overdue,2023-04-29
4cf0a603,aa95a0e3,140.95,Pending,2016-07-29
edcf6687,33a7ed01,88.59,Paid,2023-07-29
3f99fc3a,f6ae1cce,40.33,Pending,2024-03-06
7fb5b8c0,7cf8f7fc,134.75,Pending,2024-04-25
094ba62f,6b821d13,89.61,Paid,2018-03-10
aa3443ab,c7edc3e1,69.43,Overdue,2017-06-12
5d617971,ddc05789,62.1,Overdue,2019-05-12
cab17023,e2c81d3c,131.23,Overdue,2017-08-27
0cb8670f,a6b47180,132.0,Overdue,2015-06-19
f258041f,83f9a4f0,15.6,Overdue,2020-04-22
b7d06f25,e180c31a,107.11,Paid,2017-07-21
fd9b2c31,d5138b6d,143.17,Paid,2018-06-22
2a246148,774a9376,124.16,Paid,2019-02-22
aa770fcf,1697a0df,152.47,Overdue,2020-06-28
4897421c,bdc1c7a1,15.16,Pending,2021-06-18
0f4ce8f0,c5f4fcee,29.82,Pending,2022-04-27
49efebb1,3f571021,74.67,Paid,2015-11-10
beb98424,f5a717cc,178.64,Overdue,2025-01-04
45ff2b71,b302ad15,12.04,Paid,2021-11-22
f47a2268,1357165c,69.21,Pending,2022-05-28
9dab8d3f,17041a2c,187.83,Pending,2018-04-13
c4dae400,02b3d8f0,185.39,Pending,2017-02-28
ef891068,f644c668,70.37,Paid,2017-04-04
fa4b5428,0e416145,34.07,Paid,2021-05-26
c453b874,4fed1c95,103.94,Pending,2020-05-24
4a7897d9,7695053a,190.25,Overdue,2024-07-07
6ffc150a,f61dbf9f,157.33,Overdue,2022-11-09
ef44be45,9feb2f55,197.81,Overdue,2021-03-14
9d7a8b7d,9b2fe441,15.73,Paid,2023-04-25
0b5a512e,d1efb992,69.7,Pending,2017-03-02
b488ae2e,8bb27bf9,14.94,Paid,2023-08-02
a7dcfd27,135f1a9f,77.31,Pending,2022-01-08
7dbc0b12,e1cbafb0,36.39,Pending,2019-02-26
dd8bcf1d,67adf77a,81.04,Paid,2017-03-21
54ebafb0,2ec7910a,45.18,Pending,2020-11-10
0aab3445,456925f6,185.27,Overdue,2019-11-24
d1c6a4f0,368acc1f,196.84,Overdue,2017-12-10
be3bbd2c,df4ea4f2,174.21,Overdue,2024-01-04
1d68c590,71c59e95,151.42,Paid,2020-11-27
a5df7ab9,ee97a12a,189.19,Pending,2016-01-21
b9b29aaa,bcc5758c,168.77,Overdue,2018-10-13
68827afa,9a2496ca,60.21,Pending,2015-05-24
a419287f,dabdb78d,70.83,Pending,2015-05-29
4433d08c,762ee482,12.73,Overdue,2018-10-23
906f0e1b,60d871fb,98.2,Pending,2016-02-03
f9f5d434,02011e80,179.37,Pending,2017-01-06
4b216d73,e23cb26f,172.98,Pending,2022-07-09
e92e381a,f17ffbae,81.39,Overdue,2024-11-01
b75860ac,c15f30c4,164.14,Overdue,2017-08-15
4255f3ff,05e1768a,131.24,Paid,2018-01-05
f530dbb4,01027385,20.15,Pending,2022-07-09
203bb404,98a0f039,48.54,Paid,2022-10-10
ea12964d,a3b663b0,197.48,Paid,2022-06-18
ca9a6e75,f719ed5b,135.69,Paid,2019-01-18
bc9c30d7,dfcdb2bf,135.98,Overdue,2015-11-10
60eb40ec,b7563747,42.84,Overdue,2021-06-01
c682bfac,06f343a1,57.99,Overdue,2019-08-21
86c3d3b1,ada93aac,56.83,Paid,2023-08-07
42e9813e,c98cd0f5,102.44,Paid,2024-07-07
12afabe0,51978dea,99.54,Pending,2021-11-30
135509f9,fe6fc059,44.2,Paid,2022-09-08
7003fe1e,5930a961,121.52,Paid,2018-03-23
a418d642,7e790025,73.92,Pending,2023-12-28
6dd0f5bd,dabdb78d,102.28,Paid,2024-02-27
a9c75328,4ce85836,85.08,Pending,2016-04-24
144fe14e,a90b8276,61.46,Overdue,2017-02-06
7e1c8814,875a5016,47.5,Pending,2015-10-27
360cac23,08aada5d,67.72,Overdue,2023-09-13
1feafb46,6e0e292b,71.18,Paid,2022-04-02
b3090a00,f70a004b,189.11,Paid,2018-04-20
96ff91c3,9fb0f226,152.41,Overdue,2021-10-09
2ded3d4b,4d1fb349,172.39,Overdue,2016-02-14
925612a9,21ee9bcd,18.26,Paid,2017-10-05
b7d981f9,4e1427a7,101.09,Paid,2022-01-09
ee63a15a,e0cf0f74,196.7,Paid,2019-04-04
e8b28952,c40445e3,180.89,Overdue,2017-03-22
25ca42c1,5ec1d845,191.44,Pending,2017-07-04
23c98ae3,82150818,116.2,Overdue,2016-12-28
83c98b68,2a784d5d,97.76,Overdue,2021-02-23
a8c81983,c4e05ab6,100.7,Pending,2021-06-18
fbde668b,ea9b7865,124.55,Overdue,2015-05-09
7fb76ea2,e7f599ef,95.68,Pending,2024-05-03
f389a5a5,73d04174,183.87,Pending,2022-08-08
d0e508bc,36ed3fa8,197.22,Paid,2018-10-02
b4ec3890,b55c932a,70.48,Paid,2024-09-17
22deeb12,7f3b2b96,18.01,Overdue,2024-10-13
8142869b,e975737a,155.89,Pending,2024-03-30
fc675cf5,8524dcfe,79.55,Overdue,2022-03-08
ac70d538,ef3a4cc7,93.35,Paid,2015-08-23
26ef308e,ac7ea218,189.21,Paid,2018-08-19
a7440221,87a74357,108.67,Overdue,2016-07-03
c8c0d4cc,5ed24f75,78.29,Paid,2019-06-24
fa3a3ebe,dcb9d767,140.22,Paid,2016-11-18
2e7e97c9,ed38076f,195.91,Overdue,2020-08-23
48288943,40dd3ec1,64.3,Pending,2023-03-29
ceb8e1b2,bf4ee90e,163.74,Paid,2020-04-08
43888ff6,0e9090d1,177.5,Overdue,2023-03-06
219fd498,02263750,32.19,Pending,2022-10-01
94941909,0eef51ad,159.11,Pending,2019-01-18
f24165ed,d961a1ef,85.47,Paid,2024-05-13
dcae2e54,a88faf1b,25.86,Paid,2022-11-30
33aa5089,095760d9,199.3,Paid,2016-08-12
1a6296ab,39b4749e,95.52,Pending,2016-10-12
a0040c94,bc68e566,45.2,Paid,2020-06-16
27a8ce8c,be75459e,77.8,Pending,2020-03-15
df3a2acd,e13963f6,64.01,Pending,2024-03-02
ca7fe345,362314ab,32.99,Paid,2018-05-26
5db5e0f8,49fe85b5,92.82,Overdue,2022-02-16
894b1096,460db384,27.57,Pending,2017-07-25
7cc200e9,7274fd8e,106.71,Paid,2023-08-30
1900b8c1,49275281,16.3,Overdue,2015-10-15
b7d91638,3c0120ca,96.76,Pending,2020-05-19
03e7af96,e105e002,24.55,Overdue,2016-12-05
081ba5a3,cde55295,67.41,Paid,2018-03-01
051c6bf5,fc117b54,79.0,Pending,2020-10-05
a2b73746,5fb87436,198.8,Paid,2017-11-29
585f7739,75a0fea2,169.24,Paid,2020-02-05
110b15f2,b07f3276,71.91,Pending,2017-07-11
89930544,53fc72ee,19.12,Paid,2022-08-15
1b0dd4ef,6ec3960e,30.49,Paid,2016-12-19
0c1329a6,b094636d,30.59,Overdue,2022-12-30
09bc61e4,2fabc948,126.82,Pending,2020-11-02
9120eb29,1ba02c0f,197.25,Overdue,2015-05-22
9db469bb,b63e7459,45.06,Pending,2024-12-12
0754d164,3347bcd8,93.31,Overdue,2022-11-27
8af1fff8,1949500a,128.62,Overdue,2019-11-13
39a78c4a,5807db78,52.04,Overdue,2017-05-29
7ab14277,75665ba2,123.12,Pending,2015-05-17
34ed0572,4fa428af,194.65,Pending,2017-03-09
91ee3f7a,adf026ae,168.25,Paid,2018-09-19
121cab3a,c8b11f51,36.51,Pending,2020-08-30
c5bbf26a,da64c8f8,125.72,Overdue,2022-03-04
2368a28e,7445e121,67.37,Pending,2019-01-01
5d602f33,80937237,162.38,Overdue,2024-12-17
6fee4659,2c98276b,157.8,Paid,2024-12-12
26098d14,a04786e7,184.3,Pending,2024-08-10
7aa4169d,51019388,112.13,Paid,2024-09-24
a6def423,075963c7,156.01,Pending,2017-04-06
6c904268,59adf5b2,17.58,Overdue,2018-12-09
b612a385,eb1f008c,111.55,Pending,2016-12-23
e38bf785,e71914f1,22.46,Pending,2020-01-02
8539deda,28933906,99.97,Paid,2023-09-13
2bd735cf,a8ba3642,23.55,Pending,2021-04-08
97ac240a,3b8457c7,145.0,Overdue,2020-05-27
7a7803c6,e0228686,57.51,Pending,2021-07-27
cbf7e140,d80aa4bd,111.87,Overdue,2022-05-27
0f3dd514,afa4f395,117.05,Overdue,2024-07-13
0cefc54c,bb4a4a61,115.13,Paid,2018-06-18
2e2069cd,c46bcafc,56.75,Paid,2022-06-08
65e5125e,550854fe,113.85,Paid,2021-12-29
43f27b5d,de2c0bc5,48.84,Pending,2024-10-30
82445193,21fabf22,18.57,Paid,2019-06-05
121f5fbb,014096a0,85.87,Paid,2023-06-22
f6402a54,cf68948d,91.52,Paid,2024-04-17
f5d2f1d3,7df0d23f,100.76,Overdue,2018-09-25
34f0ae76,3c4e6b9e,24.06,Paid,2021-04-28
5c9d95ab,9f46ee69,163.38,Paid,2023-12-24
f809e326,e566dd40,67.21,Pending,2021-08-21
42a1f197,2685200f,153.78,Pending,2018-07-17
27c8e191,492e13ab,144.85,Paid,2017-07-24
0ecdf9fd,3c8110fb,150.61,Pending,2018-01-27
87a1b12e,87794d25,13.74,Overdue,2016-07-02
a1a7c20f,fb5aaa1a,191.94,Overdue,2021-11-25
788d3eba,f7149136,53.66,Pending,2023-10-30
c40c1a28,d092ab2e,104.88,Pending,2022-03-28
4b28ebce,51e89e1b,194.86,Pending,2017-09-27
5823f81c,ed678bb3,61.72,Paid,2020-03-05
b9fec247,0b7afaa6,72.8,Paid,2023-11-30
a8570fa4,f7a52552,140.32,Paid,2019-01-05
68dc4d21,1f3450d1,187.36,Paid,2019-05-30
03c424f6,32ce1ae1,25.34,Paid,2018-12-26
2742b7e1,c51773f7,37.11,Overdue,2017-09-02
ced73457,424fe908,195.33,Overdue,2019-08-03
dc47d856,f9c57b6b,60.14,Pending,2024-05-26
e72b998c,a38d04b0,170.01,Overdue,2018-12-17
64437f61,2208a22c,52.28,Overdue,2019-02-07
3595a0bb,ac7f8b88,194.52,Paid,2021-03-14
b867b3a7,711152aa,122.02,Pending,2020-08-31
50b8b69b,241b4b14,77.35,Paid,2015-09-25
ab288c7f,4f77bc56,178.93,Pending,2019-11-11
19cd9317,8007cc8c,71.63,Overdue,2024-01-24
d5a240e2,7529f75e,179.4,Overdue,2023-11-16
72200efb,de7cfd67,50.23,Paid,2017-10-29
4aefd681,c8bae01f,123.44,Paid,2015-11-22
38c30546,ae370005,186.94,Paid,2024-04-13
94f7d3be,2f715eb8,33.23,Overdue,2024-02-04
b1e8221e,1ec567f9,154.08,Paid,2023-11-13
f8f37bd7,d5a7e402,72.76,Paid,2018-02-23
0752763b,d17d1be2,42.24,Overdue,2024-09-01
e76dcd53,f262ed2b,77.8,Overdue,2025-02-19
fea803b3,e58a585c,17.18,Overdue,2023-05-25
cff5e945,6e437f2d,48.72,Overdue,2022-09-20
f79bf238,3a50ea8f,57.55,Pending,2017-08-04
7a6cd4af,d792bc25,177.76,Overdue,2021-06-21
72581ccd,a579286c,120.22,Pending,2018-02-18
4f0114cc,4ff7fd71,53.6,Paid,2019-08-12
2ad548f4,ebf0e0aa,170.57,Paid,2016-07-07
28749fb5,75878110,49.1,Overdue,2024-07-19
33183f0d,0a9fe0e5,131.26,Overdue,2021-05-09
36d9c30c,34b5cdbe,145.6,Overdue,2021-07-24
ebce72ab,faf41ebf,137.56,Overdue,2018-08-20
6309bfd4,e31d0855,12.7,Overdue,2019-11-26
4ba29990,ffd5bb26,110.88,Pending,2015-07-23
cbf70c78,a2753b57,98.77,Pending,2018-05-10
d482c2d6,668228b9,102.54,Overdue,2020-09-24
986e7c6e,0916a72b,48.86,Overdue,2024-01-13
70b1db7d,e6ee1c5a,32.41,Overdue,2022-06-20
dc84614b,6f0618d5,112.2,Pending,2017-09-19
229e117f,9974868d,82.25,Overdue,2017-07-24
2b368914,41fc6315,181.26,Pending,2017-01-06
5e4850a9,203c6445,86.57,Pending,2017-05-01
a17b70d7,27a3fefa,176.78,Overdue,2021-11-12
079765f4,ef5038b9,78.0,Paid,2019-09-28
2b0488cd,b284e397,113.19,Overdue,2020-06-19
1d5ec17f,fe71b6d7,129.66,Pending,2022-02-28
0c86a3a8,68ed1d9f,178.65,Overdue,2022-05-19
fd7c2e6f,eebaabbb,147.05,Paid,2016-02-01
b038b74e,46627392,45.76,Paid,2015-06-07
211d62c8,cff8c65c,38.52,Overdue,2020-03-31
00ea2bfb,0135b1d8,196.44,Pending,2023-05-19
d98cc014,92aebcdb,194.31,Overdue,2025-02-23
235d7404,b57ae022,58.93,Overdue,2016-09-05
a671aafc,62f979fd,77.06,Overdue,2017-12-03
7c12eb8a,ad0d9111,13.1,Overdue,2023-02-21
